rule_id,product,price_point,affiliate,sub_affiliate,cpa_type,cpa_value,effective_from,effective_to
R0042,Radiance Serum,29,AFF003,,percent,106.5,2025-09-15,
R0043,Radiance Serum,29,AFF018,,percent,118.0,2025-09-15,
R0044,Radiance Serum,69,AFF018,,percent,118.5,2025-09-15,
R0045,Renewal Cream,49,AFF013,,fixed,63.00,2025-09-15,
R0046,Renewal Cream,79,AFF013,,fixed,93.50,2025-09-15,
R0047,Radiance Serum,,AFF013,,fixed,75.50,2025-09-15,
R0048,Radiance Serum,69,AFF013,,percent,118.0,2025-09-15,
R0049,Radiance Serum,,AFF027,,fixed,150.00,2025-09-15,
R0050,Renewal Cream,,AFF027,,fixed,145.00,2025-09-15,
R0051,Renewal Cream,49,AFF022,,fixed,63.00,2025-09-15,
R0052,Radiance Serum,49,AFF022,,fixed,54.50,2025-09-15,
R0053,Radiance Serum,,AFF004,,percent,107.0,2025-09-15,
R0054,Radiance Serum,69,AFF004,,fixed,86.50,2025-09-15,
R0055,Radiance Serum,49,AFF002,,percent,107.5,2025-09-15,
R0056,Radiance Serum,,AFF002,,percent,107.5,2025-09-15,
R0057,Renewal Cream,49,AFF009,,percent,110.5,2025-09-15,
R0058,Radiance Serum,29,AFF009,,percent,114.5,2025-09-15,
R0059,Radiance Serum,,AFF030,,fixed,150.00,2025-09-15,
R0060,Renewal Cream,,AFF030,,fixed,141.00,2025-09-15,
R0061,Radiance Serum,49,AFF006,,percent,115.0,2025-09-15,
R0062,Radiance Serum,69,AFF006,,fixed,83.50,2025-09-15,
R0063,Renewal Cream,79,AFF021,AFF021-S03,percent,108.5,2025-09-15,
R0064,Radiance Serum,69,AFF021,AFF021-S04,fixed,87.00,2025-09-15,
R0065,Renewal Cream,49,AFF016,AFF016-S02,percent,107.5,2025-09-15,
R0066,Radiance Serum,29,AFF016,AFF016-S04,percent,113.5,2025-09-15,
R0067,Radiance Serum,49,AFF016,AFF016-S05,percent,112.0,2025-09-15,
R0068,Radiance Serum,69,AFF016,AFF016-S09,percent,113.0,2025-09-15,
R0069,Radiance Serum,,AFF014,AFF014-S02,fixed,69.50,2025-09-15,
R0070,Renewal Cream,,AFF011,AFF011-S03,percent,109.0,2025-09-15,
R0071,Renewal Cream,79,AFF011,AFF011-S04,fixed,84.50,2025-09-15,
R0072,Renewal Cream,79,AFF011,AFF011-S07,fixed,89.00,2025-09-15,
R0073,Renewal Cream,49,AFF015,AFF015-S01,percent,112.0,2025-09-15,
R0074,Radiance Serum,,AFF015,AFF015-S02,fixed,77.00,2025-09-15,
R0075,Radiance Serum,,AFF015,AFF015-S03,fixed,68.00,2025-09-15,
R0076,Radiance Serum,69,AFF025,AFF025-S04,fixed,86.50,2025-09-15,
R0077,Radiance Serum,69,AFF025,AFF025-S05,fixed,79.00,2025-09-15,
R0078,Radiance Serum,49,AFF007,AFF007-S02,percent,114.5,2025-09-15,
R0079,Renewal Cream,,AFF007,AFF007-S04,percent,119.0,2025-09-15,
R0080,Radiance Serum,,AFF007,AFF007-S06,percent,111.5,2025-09-15,
R0081,Radiance Serum,49,AFF007,AFF007-S08,percent,114.0,2025-09-15,
R0082,Radiance Serum,29,AFF007,AFF007-S10,percent,114.0,2025-09-15,
R0083,Radiance Serum,29,AFF026,AFF026-S03,fixed,65.50,2025-09-15,
R0084,Renewal Cream,79,AFF012,AFF012-S01,fixed,83.50,2025-09-15,
R0085,Radiance Serum,69,AFF012,AFF012-S03,percent,116.5,2025-09-15,
R0086,Renewal Cream,79,AFF012,AFF012-S04,fixed,95.50,2025-09-15,
R0087,Radiance Serum,69,AFF012,AFF012-S05,fixed,77.00,2025-09-15,
R0088,Renewal Cream,,AFF029,AFF029-S01,fixed,131.00,2025-09-15,
R0089,Radiance Serum,69,AFF020,AFF020-S02,percent,116.5,2025-09-15,
R0090,Renewal Cream,119,AFF020,AFF020-S04,percent,108.0,2025-09-15,
R0091,Radiance Serum,69,AFF020,AFF020-S05,fixed,80.50,2025-09-15,
R0092,Radiance Serum,49,AFF008,AFF008-S01,fixed,57.00,2025-09-15,
R0093,Renewal Cream,79,AFF008,AFF008-S03,fixed,97.00,2025-09-15,
R0094,Radiance Serum,49,AFF008,AFF008-S04,percent,116.0,2025-09-15,
R0095,Radiance Serum,29,AFF008,AFF008-S05,percent,119.0,2025-09-15,
R0096,Renewal Cream,49,AFF019,AFF019-S01,fixed,54.50,2025-09-15,
R0097,Radiance Serum,,AFF019,AFF019-S02,percent,107.5,2025-09-15,
R0098,Radiance Serum,49,AFF018,AFF018-S02,fixed,64.50,2025-09-15,
R0099,Radiance Serum,,AFF018,AFF018-S05,percent,114.5,2025-09-15,
R0100,Radiance Serum,49,AFF018,AFF018-S07,percent,111.5,2025-09-15,
R0101,Radiance Serum,29,AFF013,AFF013-S04,percent,117.0,2025-09-15,
R0102,Radiance Serum,49,AFF013,AFF013-S05,percent,110.0,2025-09-15,
R0103,Radiance Serum,49,AFF022,AFF022-S02,percent,118.5,2025-09-15,
R0104,Radiance Serum,29,AFF022,AFF022-S03,percent,108.5,2025-09-15,
R0105,Radiance Serum,49,AFF022,AFF022-S06,percent,109.5,2025-09-15,
R0106,Radiance Serum,29,AFF022,AFF022-S07,percent,116.5,2025-09-15,
R0107,Renewal Cream,49,AFF004,AFF004-S02,fixed,51.00,2025-09-15,
R0108,Renewal Cream,49,AFF002,AFF002-S01,percent,107.5,2025-09-15,
R0109,Renewal Cream,49,AFF002,AFF002-S02,percent,107.0,2025-09-15,
R0110,Renewal Cream,119,AFF002,AFF002-S03,percent,107.0,2025-09-15,
R0111,Renewal Cream,119,AFF002,AFF002-S04,fixed,133.50,2025-09-15,
R0112,Radiance Serum,,AFF002,AFF002-S06,percent,106.5,2025-09-15,
R0113,Radiance Serum,69,AFF002,AFF002-S07,fixed,79.50,2025-09-15,
R0114,Renewal Cream,49,AFF002,AFF002-S09,percent,105.5,2025-09-15,
R0115,Radiance Serum,69,AFF002,AFF002-S11,fixed,71.00,2025-09-15,
R0116,Renewal Cream,79,AFF009,AFF009-S04,fixed,94.50,2025-09-15,
R0117,Renewal Cream,79,AFF009,AFF009-S06,fixed,92.00,2025-09-15,
R0118,Renewal Cream,,AFF009,AFF009-S07,fixed,75.00,2025-09-15,
R0119,Radiance Serum,29,AFF001,AFF001-S01,fixed,50.00,2025-09-15,
R0120,Renewal Cream,119,AFF001,AFF001-S03,percent,105.5,2025-09-15,
R0121,Radiance Serum,,AFF001,AFF001-S04,fixed,77.50,2025-09-15,
R0122,Radiance Serum,29,AFF001,AFF001-S07,fixed,50.00,2025-09-15,
R0123,Radiance Serum,29,AFF006,AFF006-S01,fixed,50.00,2025-09-15,
R0124,Radiance Serum,29,AFF006,AFF006-S02,percent,119.0,2025-09-15,
R0125,Renewal Cream,49,AFF006,AFF006-S03,fixed,61.50,2025-09-15,
R0126,Radiance Serum,49,,,fixed,83.00,2025-09-15,
R0127,,,AFF026,,percent,108.0,2025-09-15,
R0128,Radiance Serum,69,,,fixed,108.50,2025-09-15,
R0129,,,AFF015,,percent,106.5,2025-09-15,
R0130,Radiance Serum,49,,,fixed,71.50,2025-09-15,
R0131,,,AFF022,,percent,109.5,2025-09-15,
R0132,Renewal Cream,49,,,fixed,70.00,2025-09-15,
R0133,,,AFF017,,percent,110.0,2025-09-15,
R0134,Renewal Cream,79,,,fixed,131.50,2025-09-15,
R0135,,,AFF028,,percent,108.5,2025-09-15,
R0136,Radiance Serum,69,,,fixed,99.50,2025-09-15,
R0137,,,AFF014,,percent,106.0,2025-09-15,
R0138,Radiance Serum,,AFF027,,percent,107.5,2025-09-15,2026-01-12
R0139,Radiance Serum,,AFF027,,percent,112.0,2026-01-13,
R0140,Renewal Cream,,AFF024,,percent,111.0,2025-09-15,2026-05-04
R0141,Renewal Cream,,AFF024,,percent,114.0,2026-05-05,
R0142,Radiance Serum,,AFF006,,percent,107.5,2025-09-15,2026-01-12
R0143,Radiance Serum,,AFF006,,percent,113.5,2026-01-13,
R0144,Radiance Serum,,AFF005,,percent,107.5,2025-09-15,2026-01-12
R0145,Radiance Serum,,AFF005,,percent,113.5,2026-01-13,
R0146,Renewal Cream,,AFF008,,percent,109.5,2025-09-15,2026-04-02
R0147,Renewal Cream,,AFF008,,percent,115.5,2026-04-03,
R0148,Radiance Serum,,AFF029,,percent,105.5,2025-09-15,2026-05-04
R0149,Radiance Serum,,AFF029,,percent,111.5,2026-05-05,
R0150,Radiance Serum,,AFF012,,percent,106.5,2025-09-15,2026-02-26
R0151,Radiance Serum,,AFF012,,percent,111.0,2026-02-27,
R0152,Radiance Serum,,AFF022,,percent,106.5,2025-09-15,2026-02-26
R0153,Radiance Serum,,AFF022,,percent,115.5,2026-02-27,
